CreatedAt,Replies,Favorites,Impressions,Sentiment,UserValue,TweetValue,InfluenceScore,price
1702666221,0,0,27,neutral,0.07,0.07,1.285714286,0.09526
1702666267,0,3,4522,negative,1.15,1.52,1.934131737,0.09526
1702666270,1,0,28,neutral,1.2,0.24,0.071428571,0.09526
1702666283,0,0,4522,negative,1.15,0.57,1.934131737,0.09526
1702666316,0,0,436,undefined,0.26,0.13,1.178378378,0.09527
1702666337,0,0,0,neutral,0.29,0.14,0,0.09527
1702666358,0,0,0,positive,0.36,0.18,0,0.09527
1702666368,0,0,0,neutral,0.18,0.09,0,0.09527
1702666373,0,0,5,positive,0.24,0.12,0.06097561,0.09527
1702666378,0,0,0,neutral,0.29,0.14,0,0.09522
1702666400,0,0,197,neutral,1.09,0.55,0.077254902,0.09522
1702666427,1,1,197,undefined,1.09,0.22,0.077254902,0.09522
1702666432,0,0,2,positive,0.48,0.24,0.011494253,0.09518
1702666475,0,0,0,positive,1.31,0.66,0,0.09517
1702666503,0,0,95,neutral,0.11,0.15,1.397058824,0.09517
1702666518,1,0,197,positive,1.09,0.22,0.077254902,0.09517
1702666540,0,0,0,undefined,0,0,0,0.09517
1702666544,1,0,7,undefined,1.42,0.28,0.013861386,0.09514
1702666577,1,1,11,undefined,2.52,0.5,0.014084507,0.09514
1702666593,0,0,0,positive,0,0,0,0.09517
1702666629,0,0,0,positive,0.22,0.11,0,0.09517
1702666631,0,0,0,positive,0,0,0,0.09517
1702666646,0,0,0,positive,0.28,0.14,0,0.09517
1702666673,0,0,0,neutral,1.41,0.7,0,0.09524
1702666681,0,0,11,positive,2.52,1.26,0.014084507,0.09527
1702666800,0,0,1,undefined,8.53,4.26,1,0.09527
1702666803,0,0,2841,neutral,8.24,10.88,0.013583293,0.09527
1702666812,0,0,4220,neutral,1.42,1.87,0.15329846,0.09527
1702666843,0,0,1694,undefined,2.33,2.56,0.112933333,0.09526
1702666909,0,4,228,neutral,0.22,0.29,3.166666667,0.09524
1702666930,0,1,4522,neutral,1.15,1.52,1.934131737,0.09524
1702666966,0,0,4522,neutral,1.15,0.57,1.934131737,0.09516
1702667003,0,0,0,neutral,0.83,0.41,0,0.09516
1702667026,0,0,0,undefined,4.65,2.33,0,0.09516
1702667037,0,0,0,neutral,0.46,0.23,0,0.09529
1702667045,0,0,0,positive,1.57,0.79,0,0.09529
1702667048,0,0,0,positive,0.46,0.23,0,0.09529
1702667082,0,0,0,positive,0.04,0.02,0,0.09532
1702667133,1,12,103,neutral,4.42,0.97,0.004885221,0.09532
1702667143,0,0,0,neutral,1.57,0.79,0,0.09532
1702667147,0,0,36,neutral,89.67,98.64,0.000749157,0.09532
1702667149,0,0,0,neutral,1.57,0.79,0,0.09532
1702667156,0,0,0,neutral,0.33,0.17,0,0.09532
1702667157,0,0,0,neutral,0.01,0.01,0,0.09525
1702667170,0,0,0,neutral,0,0,0,0.09525
1702667172,0,0,0,neutral,0,0,0,0.09525
1702667173,0,0,0,neutral,0.05,0.03,0,0.09525
1702667173,0,0,0,neutral,0.01,0.01,0,0.09525
1702667175,0,0,0,neutral,0,0,0,0.09525
1702667181,0,0,0,neutral,0,0,0,0.09525
1702667182,0,0,0,neutral,0.01,0.01,0,0.09525
1702667186,0,0,88,undefined,0.3,0.15,0.055555556,0.09525
1702667191,0,0,0,positive,0.81,0.41,0,0.09525
1702667203,0,0,0,neutral,0.72,0.36,0,0.09521
1702667231,0,0,0,neutral,0,0,0,0.09521
1702667231,1,0,103,neutral,4.42,0.97,0.004885221,0.09521
1702667236,0,0,0,neutral,0,0,0,0.09521
1702667239,0,13,103,neutral,4.42,4.86,0.004885221,0.09521
1702667253,0,0,0,neutral,0,0,0,0.09521
1702667259,0,0,0,neutral,0.37,0.18,0,0.09521
1702667265,0,0,0,neutral,0,0,0,0.09521
1702667265,0,0,0,neutral,0,0,0,0.09521
1702667265,0,0,0,neutral,0.01,0.01,0,0.09521
1702667267,0,0,0,neutral,0,0,0,0.09521
1702667268,0,0,0,neutral,0,0,0,0.09521
1702667269,0,0,0,neutral,0.03,0.01,0,0.09522
1702667286,0,0,0,neutral,0.01,0.01,0,0.09522
1702667287,0,0,0,neutral,0,0,0,0.09522
1702667304,0,0,0,positive,0.09,0.04,0,0.09522
1702667332,0,0,0,neutral,0,0,0,0.09522
1702667335,0,0,0,neutral,0.01,0.01,0,0.09522
1702667338,0,0,0,neutral,0,0,0,0.09522
1702667339,0,0,0,neutral,0,0,0,0.09524
1702667340,0,0,0,neutral,0.02,0.01,0,0.09524
1702667346,0,0,0,neutral,0.21,0.1,0,0.09524
1702667368,0,0,0,neutral,0.24,0.12,0,0.09524
1702667374,0,0,0,positive,0.19,0.1,0,0.09524
1702667379,1,0,18,undefined,0.62,0.12,0.086538462,0.09524
1702667382,0,0,0,neutral,0,0,0,0.09521
1702667405,0,0,0,positive,1.43,0.71,0,0.09521
1702667419,0,0,0,neutral,0,0,0,0.09521
1702667419,0,0,921,neutral,0.27,0.36,1.795321637,0.09521
1702667420,0,0,0,neutral,0,0,0,0.09521
1702667422,0,0,921,neutral,0.27,0.14,1.795321637,0.09521
1702667431,0,0,0,neutral,0.01,0.01,0,0.09521
1702667433,0,0,0,neutral,0,0,0,0.09521
1702667434,0,0,0,neutral,0,0,0,0.09521
1702667435,0,0,0,neutral,0.01,0.01,0,0.09521
1702667436,0,0,0,neutral,0,0,0,0.09523
1702667476,0,0,0,positive,0.02,0.01,0,0.09517
1702667524,0,0,0,neutral,0.03,0.01,0,0.09517
1702667535,1,1,3251,undefined,18.9,3.78,0.030035107,0.09517
1702667544,1,12,103,neutral,4.42,0.97,0.004885221,0.09517
1702667644,0,6,279,undefined,13.48,17.79,0.015841472,0.09517
1702667662,0,0,0,neutral,0.03,0.01,0,0.09517
1702667680,0,0,0,neutral,0,0,0,0.09517
1702667680,0,0,0,neutral,0,0,0,0.09517
1702667689,0,0,0,neutral,0,0,0,0.09517
1702667689,0,0,0,neutral,0.02,0.01,0,0.09517
1702667689,0,0,0,neutral,0.01,0.01,0,0.09517
1702667690,0,0,0,neutral,0,0,0,0.09517
1702667691,1,1,181,neutral,3.82,0.84,0.031056966,0.09511
1702667708,0,0,0,neutral,0.76,0.38,0,0.09511
1702667711,0,0,0,neutral,0,0,0,0.09511
1702667722,0,0,0,neutral,0,0,0,0.09511
1702667728,0,0,0,neutral,0,0,0,0.09511
1702667734,1,1,1075,undefined,1,0.2,0.393772894,0.09511
1702667755,0,0,0,neutral,1.19,0.59,0,0.0951
1702667760,0,0,0,neutral,0.06,0.03,0,0.0951
1702667782,0,0,0,positive,0.12,0.06,0,0.0951
1702667800,0,0,0,positive,0.14,0.07,0,0.0951
1702667811,0,68,4988,positive,3.96,5.23,0.515608848,0.09514
1702667821,0,6,1052,positive,1.19,1.57,0.186030062,0.09514
1702667823,1,0,1075,undefined,1,0.2,0.393772894,0.09514
1702667857,0,0,0,neutral,0.1,0.05,0,0.09521
1702667901,0,0,0,neutral,0.04,0.02,0,0.09521
1702667910,0,0,803,neutral,0.27,0.27,2.158602151,0.09523
1702667963,0,0,0,neutral,0.16,0.08,0,0.09523
1702667979,0,0,0,neutral,0.04,0.02,0,0.09523
1702667998,0,0,0,neutral,0.45,0.23,0,0.09514
1702668011,0,0,1098,neutral,5.93,2.96,0.315336014,0.09508
1702668125,1,2,48,positive,0.23,0.05,0.615384615,0.0951
1702668201,1,1,3251,neutral,18.9,4.99,0.030035107,0.0951
1702668202,1,1,869,neutral,7.32,1.46,0.092407486,0.0951
1702668211,0,3,176,neutral,1.21,1.6,0.44556962,0.0951
1702668217,0,0,140,neutral,6.86,6.86,0.034670629,0.09504
1702668254,0,0,140,neutral,6.86,6.86,0.034670629,0.09504
1702668255,1,0,128,neutral,2.95,0.78,0.019230769,0.09504
1702668308,0,7,120,positive,0.3,0.4,1.25,0.09504
1702668314,0,0,0,positive,0.52,0.26,0,0.09504
1702668319,0,0,0,neutral,0.05,0.03,0,0.09504
1702668323,0,0,0,neutral,1.03,0.52,0,0.09504
1702668333,0,0,0,positive,0.13,0.07,0,0.09504
1702668338,0,0,0,neutral,0.07,0.04,0,0.09504
1702668346,0,0,0,neutral,0.15,0.07,0,0.09503
1702668393,0,0,52,neutral,3.32,1.66,0.035788025,0.09503
1702668396,0,0,0,neutral,0.07,0.04,0,0.09503
1702668400,0,0,0,positive,1.51,0.76,0,0.09503
1702668408,0,0,52,undefined,3.32,1.66,0.035788025,0.09503
1702668414,0,0,602,undefined,1.19,0.59,0.215307582,0.09503
1702668415,0,0,52,neutral,3.32,1.66,0.035788025,0.09503
1702668417,0,0,602,positive,1.19,0.59,0.215307582,0.09503
1702668417,0,0,0,neutral,0.02,0.01,0,0.09503
1702668418,0,0,0,positive,0.29,0.14,0,0.09503
1702668419,0,0,52,neutral,3.32,1.66,0.035788025,0.09502
1702668437,0,0,602,undefined,1.19,0.59,0.215307582,0.09502
1702668441,0,0,602,neutral,1.19,0.59,0.215307582,0.09502
1702668446,0,0,52,neutral,3.32,1.66,0.035788025,0.09502
1702668450,0,0,52,neutral,3.32,1.66,0.035788025,0.09502
1702668463,0,0,0,neutral,0.37,0.18,0,0.09506
1702668531,0,0,0,neutral,0.12,0.06,0,0.09515
1702668602,0,0,86,neutral,13.09,17.28,0.021629779,0.09515
1702668611,0,0,126,neutral,46.66,51.33,0.007759576,0.09515
1702668632,0,0,3133,positive,22.05,24.26,0.013139739,0.09515
1702668636,0,0,3133,neutral,22.05,24.26,0.013139739,0.09518
1702668661,0,0,3133,neutral,22.05,24.26,0.013139739,0.09518
1702668670,0,0,3133,neutral,22.05,24.26,0.013139739,0.09518
1702668690,0,0,0,neutral,0.51,0.26,0,0.09518
1702668702,0,0,0,neutral,0.41,0.2,0,0.0952
1702668741,0,0,3133,positive,22.05,24.26,0.013139739,0.0952
1702668755,0,0,264,neutral,0.39,0.43,0.862745098,0.09521
1702668823,0,0,3133,positive,22.05,24.26,0.013139739,0.09521
1702668826,0,0,2459,neutral,0.08,0.08,1.617763158,0.09524
1702668888,0,0,0,neutral,0.33,0.17,0,0.09527
1702668958,0,0,0,neutral,0.06,0.03,0,0.0952
1702668967,0,22,815,neutral,112.25,148.17,0.019223965,0.0952
1702668973,0,0,0,neutral,0.46,0.23,0,0.09532
1702669031,0,0,181,positive,3.82,1.91,0.031056966,0.09529
1702669157,0,8,682,undefined,32.74,36.01,0.062551591,0.09529
1702669182,0,0,322,neutral,8.15,8.97,0.055786556,0.09529
1702669184,0,0,0,undefined,0.37,0.18,0,0.0953
1702669264,0,0,0,undefined,23.44,11.72,0,0.0953
1702669266,0,0,0,neutral,0.25,0.13,0,0.0953
1702669266,0,0,0,positive,23.44,11.72,0,0.0953
1702669285,0,0,0,neutral,0.03,0.01,0,0.0953
1702669306,0,0,0,neutral,0.43,0.21,0,0.09528
1702669326,0,0,0,undefined,0.28,0.14,0,0.09528
1702669340,0,0,0,positive,0.73,0.36,0,0.09528
1702669364,0,0,0,positive,0.33,0.17,0,0.09528
1702669366,0,0,0,neutral,2.16,1.08,0,0.09522
1702669432,0,0,0,neutral,2.22,1.11,0,0.09516
1702669468,0,0,0,positive,3.62,1.81,0,0.09512
1702669511,0,0,0,neutral,0.95,0.47,0,0.09512
1702669525,0,0,3321,neutral,2.24,2.46,0.123484792,0.095
1702669633,0,25,7951,neutral,7.06,7.06,0.577834302,0.095
1702669634,0,4,123,neutral,3.61,3.97,0.104060914,0.095
1702669657,0,0,0,neutral,0.05,0.03,0,0.095
1702669671,0,0,0,positive,0.41,0.2,0,0.09504
1702669700,0,0,0,neutral,0.05,0.03,0,0.09504
1702669711,1,0,31,undefined,1.31,0.26,0.077694236,0.09504
1702669730,0,0,0,neutral,0.46,0.23,0,0.09505
1702669752,0,0,25397,neutral,15.45,7.72,0.304538641,0.09505
1702669793,0,0,0,positive,0.55,0.28,0,0.09493
1702669863,0,0,9947,neutral,4.59,2.29,0.266318608,0.09493
1702669884,0,0,0,positive,1.51,0.76,0,0.09493
1702669894,0,0,0,positive,0.12,0.06,0,0.09493
1702669915,0,0,0,positive,0.54,0.27,0,0.09492
1702669933,0,0,0,neutral,0.59,0.29,0,0.09491
1702670108,0,0,0,positive,0.09,0.04,0,0.09491
1702670149,0,1,1201,negative,0.5,0.66,2.187613843,0.09488
1702670242,0,0,0,positive,0.49,0.24,0,0.09484
1702670317,0,0,0,positive,0.81,0.41,0,0.09483
1702670362,0,0,0,positive,0.4,0.2,0,0.09483
1702670395,0,0,0,positive,0.6,0.3,0,0.09492
1702670405,0,0,4220,neutral,1.42,1.87,0.15329846,0.09485
1702670577,0,0,0,neutral,0.03,0.01,0,0.09487
1702670596,1,0,230,undefined,1.57,0.35,0.087954111,0.09487
1702670604,0,0,0,positive,0.78,0.39,0,0.09487
1702670631,0,0,0,neutral,2.25,1.13,0,0.09496
1702670657,0,0,0,positive,1.51,0.76,0,0.09496
1702670679,0,0,0,neutral,1.51,0.76,0,0.09495
1702670707,0,66,29383,neutral,23.48,30.99,0.065875258,0.09495
1702670736,0,0,0,neutral,1.51,0.76,0,0.09495
1702670742,0,0,0,neutral,1.51,0.76,0,0.095
1702670770,0,0,602,neutral,1.19,0.59,0.215307582,0.095
1702670772,0,0,602,neutral,1.19,0.59,0.215307582,0.095
1702670802,0,0,4683,neutral,3.01,1.5,0.360341644,0.09502
1702670840,0,0,602,neutral,1.19,0.59,0.215307582,0.09502
1702670858,0,0,0,positive,0.11,0.06,0,0.09502
1702670862,0,0,4683,neutral,3.01,1.5,0.360341644,0.09496
1702670919,1,2,80,undefined,2.12,0.42,0.10738255,0.09496
1702670951,0,0,145,undefined,0.35,0.46,0.358910891,0.09496
1702670955,0,0,3321,neutral,2.24,2.46,0.123484792,0.09499
1702671032,0,0,1383,undefined,39.71,19.86,0.013482423,0.09505
1702671063,0,0,0,neutral,0.01,0.01,0,0.09501
